Name	   Shoot	   Root
b432	   0.4217	   0.2598
b433	   0.0000	   0.1739
b434	   0.2860	   0.2385
b442	   0.2569	   0.1826
b443	   0.0000	   0.0000
b444	   0.0000	   0.0000
b445	   0.2730	   0.2426
b451	   0.0000	   0.0000
b452	   0.2869	   0.1792
b453	   0.2746	   0.1595
b454	   0.2453	   0.1796
b455	   0.0000	   0.1402
b461	   0.0000	   0.0000
b462	   0.1061	   0.2292
b463	   0.0000	   0.0000
b464	   0.0000	   0.0000
b465	   0.1213	   0.1644
b471	   0.3444	   0.2428
b472	   0.0000	   0.0000
b473	   0.3169	   0.1504
b474	   0.0781	   0.2334
b475	   0.1275	   0.1824
b481	   0.2240	   0.1908
b482	   0.0000	   0.0000
b483	   0.0000	   0.1850
b484	   0.1277	   0.1483
b485	   0.0688	   0.1688
b491	   0.0000	   0.2369
b492	   0.0000	   0.0000
b493	   0.1892	   0.2522
b494	   0.3193	   0.3137
b495	   0.0000	   0.0000
b501	   0.0000	   0.0000
b502	   0.0000	   0.0000
b503	   0.2178	   0.1778
b504	   0.2535	   0.2001
b505	   0.1165	   0.2038
b532	   0.0000	   0.0736
b533	   0.0000	   0.0000
b534	   0.3193	   0.1033
b535	   0.1627	   0.0976
b541	   0.2328	   0.1623
b542	   0.0000	   0.0000
b543	   0.1447	   0.2022
b544	   0.0000	   0.0000
b545	   0.2545	   0.1782
b551	   0.0000	   0.0000
b552	   0.0000	   0.0000
b553	   0.1395	   0.1464
b554	   0.0621	   0.1483
b555	   0.0000	   0.1838
b561	   0.1069	   0.1398
b562	   0.0000	   0.0000
b563	   0.0219	   0.1950
b564	   0.0000	   0.0000
b565	   0.0401	   0.0612
b571	   0.0828	   0.1474
b572	   0.2641	   0.1537
b573	   0.1714	   0.1060
b574	   0.0000	   0.0000
b575	   0.0615	   0.1195
b581	   0.3788	   0.2124
b582	   0.0242	   0.1994
b583	   0.0000	   0.1347
b584	   0.0000	   0.0000
b585	   0.0541	   0.0979
b591	   0.0000	   0.0000
b592	   0.1932	   0.1058
b593	   0.1166	   0.1651
b594	   0.0629	   0.1490
b595	   0.1411	   0.0781
b601	   0.0000	   0.1383
b602	   0.0001	   0.1422
b603	   0.4352	   0.1963
b604	   0.2889	   0.2710
b605	   0.2564	   0.1348
b631	   0.0346	   0.2026
b632	   0.0000	   0.2713
b633	   0.3811	   0.1894
b634	   0.0080	   0.0755
b635	   0.2303	   0.2116
b641	   0.1944	   0.1749
b642	   0.0000	   0.0001
b643	   0.0000	   0.0000
b644	   0.2336	   0.2341
b645	   0.2428	   0.2128
b651	   0.2175	   0.3012
b652	   0.2780	   0.2595
b653	   0.1345	   0.2419
b654	   0.1225	   0.1324
b655	   0.0000	   0.0503
b661	   0.0000	   0.0000
b662	   0.0560	   0.1414
b663	   0.1665	   0.2009
b673	   0.1992	   0.2118
b674	   0.2145	   0.1969
b675	   0.0001	   0.1729
b681	   0.0000	   0.0318
b682	   0.2266	   0.1652
b683	   0.0000	   0.0000
b684	   0.0000	   0.0000
b685	   0.0000	   0.0000
b691	   0.0000	   0.0001
b692	   0.0000	   0.0000
b693	   0.1117	   0.0969
b694	   0.1635	   0.1744
b695	   0.2243	   0.2618
b701	   0.3530	   0.2554
b702	   0.0131	   0.1360
b703	   0.0000	   0.1587
b704	   0.0000	   0.0000
b705	   0.0000	   0.1494
b711	   0.2205	   0.2200
b712	   0.0000	   0.1357
b713	   0.2487	   0.2212
b714	   0.0000	   0.0716
b715	   0.0000	   0.0999
b721	   0.1547	   0.2535
b722	   0.0000	   0.0000
b723	   0.0000	   0.1461
b724	   0.0000	   0.2091
b725	   0.1666	   0.1948
b731	   0.2304	   0.2207
b732	   0.2645	   0.2319
b733	   0.2611	   0.2132
b734	   0.1855	   0.1859
b735	   0.1624	   0.2038
b742	   0.0687	   0.0636
b744	   0.1093	   0.2090
b751	   0.0972	   0.1121
b752	   0.0000	   0.0000
b753	   0.0910	   0.1414
b754	   0.0595	   0.0958
b761	   0.0000	   0.0772
b762	   0.1362	   0.1078
b763	   0.2789	   0.2154
b764	   0.0678	   0.1698
b771	   0.1282	   0.1084
b772	   0.2930	   0.1793
b773	   0.2116	   0.2450
b774	   0.0000	   0.0001
b775	   0.1822	   0.2261
b781	   0.2033	   0.1938
b782	   0.0128	   0.1979
b783	   0.2597	   0.1829
b784	   0.0698	   0.1527
b785	   0.0311	   0.0734
b791	   0.1532	   0.2535
b792	   0.0000	   0.0000
b793	   0.0000	   0.0000
