REAL_GENOTYPE,TANK,STRIP,POSITION,GENOTYPE,FRESH_LS,FRESH_RS,DRY_LS,DRY_RS,AREA,S_WEIGHT,w_WEIGHT,w_AREA,S,P,T,geno
2,A,1,6,2,0.09,0.83,0,0.1437,13.958234972740522,0.32425000000000004,1,1,1,1,A,2
21,A,1,7,21,2.02,2.49,0.14,0.2051,8.297226199295514,0.7795,5,1,1,2,A,21
6,A,1,10,6,3.74,5.15,0.3011,0.2694,29.088294865545066,0.3225,5,1,1,5,A,6
18,A,1,9,18,0.07,0.4,0,0.1003,2.7760845894700745,0.6415,1,1,1,4,A,18
20,A,2,7,20,3.54,4.04,0.284,0.2244,28.01284093540764,0.7060000000000001,5,1,2,2,A,20
24,A,2,10,24,3.05,3.17,0.2319,0.1526,10.777275792226602,0.72325,5,1,2,5,A,24
1,A,2,8,1,3.86,5.5,0.3196,0.291,15.153941524867475,0.23675000000000002,5,1,2,3,A,1
27,A,3,7,27,1.53,2.2,0.1055,0.1649,8.095828487274858,0.88425,5,1,3,2,A,27
8,A,3,8,8,3.02,2.7,0.2223,0.1539,23.49706933414197,0.42325,5,1,3,3,A,8
3,A,3,10,3,4.07,4.8,0.3049,0.2221,27.43047585415379,0.33999999999999997,5,1,3,5,A,3
5,A,4,7,5,1.1,1.77,0.0772,0.1083,17.3621256379844,0.36174999999999996,5,1,4,2,A,5
16,A,4,6,16,5.48,6.49,0.3983,0.2644,15.992703083436652,0.60675,5,1,4,1,A,16
7,A,4,9,7,1.84,1.85,0.1313,0.0999,21.666807410279144,0.31875,5,1,4,4,A,7
25,A,5,6,25,4.02,3.34,0.2579,0.1317,27.23832243849824,0.76325,5,1,5,1,A,25
19,A,5,8,19,3.89,5.2,0.2653,0.243,26.014160086902784,0.67125,5,1,5,3,A,19
9,A,5,7,9,1.67,2.13,0.1171,0.1791,6.80400044526161,0.46725000000000005,5,1,5,2,A,9
23,A,6,9,23,3.05,3.57,0.2099,0.1742,25.501885324663526,0.787,5,1,6,4,A,23
17,A,6,10,17,5.8,6.43,0.4433,0.3236,22.327752209354845,0.6487499999999999,5,1,6,5,A,17
28,A,6,6,28,2.48,3.29,0.2006,0.2443,8.694967648161441,0.959,5,1,6,1,A,28
21,A,7,10,21,0.82,0.79,0,0.2119,16.74739592329729,0.7795,5,1,7,5,A,21
3,A,7,8,3,3.94,4.97,0.2824,0.2289,25.23085151165037,0.33999999999999997,5,1,7,3,A,3
19,A,8,9,19,2.4,3.48,0.1694,0.1968,23.810882807911838,0.67125,5,1,8,4,A,19
5,A,8,10,5,3.94,3.07,0.293,0.2027,17.141586794666587,0.36174999999999996,5,1,8,5,A,5
6,A,8,7,6,2.9,3.68,0.2103,0.1945,24.73622727790338,0.3225,5,1,8,2,A,6
27,A,8,8,27,3.51,3.73,0.2618,0.2135,9.952639774400785,0.88425,5,1,8,3,A,27
24,A,9,8,24,2.47,2.93,0.1791,0.1347,27.300818999875894,0.72325,5,1,9,3,A,24
1,A,9,9,1,2.33,3.16,0.1944,0.2421,3.5645814860734197,0.23675000000000002,1,1,9,4,A,1
28,A,9,10,28,0.55,0.9,0.0178,0.1057,17.53091561396842,0.959,2,1,9,5,A,28
23,A,10,8,23,1.95,2.5,0.1614,0.18,9.537068668808528,0.787,5,1,10,3,A,23
22,A,11,7,22,0.94,1.05,0.0824,0.1502,5.8948478881420945,0.7705,5,1,11,2,A,22
16,A,12,10,16,7.12,8.2,0.5879,0.4586,23.698006430703604,0.60675,5,1,12,5,A,16
25,A,13,7,25,3.2,3.33,0.2502,0.1767,8.584886950891994,0.76325,5,1,13,2,A,25
19,A,13,6,19,1.35,2.67,0.106,0.1673,22.399972874867412,0.67125,5,1,13,1,A,19
7,A,14,8,7,2.33,2.46,0.1804,0.1408,10.261546414044677,0.31875,4,1,14,3,A,7
17,A,14,7,17,1.75,1.23,0.0528,0.0835,17.164406452198993,0.6487499999999999,3,1,14,2,A,17
25,A,15,10,25,5.25,5.43,0.3765,0.2757,26.20352422005648,0.76325,5,1,15,5,A,25
1,A,15,7,1,1.78,2.38,0.1323,0.1204,6.616165299534395,0.23675000000000002,5,1,15,2,A,1
